timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769004995,0.00,19.48,31334.40,0.06
1769004998,0.00,19.48,31334.40,0.06
1769005001,0.00,19.48,31334.40,0.06
1769005004,0.00,19.48,31334.40,0.06
1769005007,0.00,19.48,31334.40,0.06
1769005010,93.88,29.96,31334.40,0.10
1769005013,116.96,44.18,31334.40,0.14
1769005016,0.24,35.64,31334.40,0.11
1769005019,0.15,35.64,31334.40,0.11
1769005022,0.21,35.6,31334.40,0.11
1769005025,0.38,34.99,31334.40,0.11
1769005029,0.29,34.98,31334.40,0.11
1769005032,0.12,34.96,31334.40,0.11
1769005035,0.17,34.96,31334.40,0.11
1769005038,0.25,34.97,31334.40,0.11
1769005041,0.34,34.97,31334.40,0.11
1769005044,0.23,34.97,31334.40,0.11
1769005047,0.01,34.97,31334.40,0.11
1769005050,0.01,34.97,31334.40,0.11
1769005053,0.01,34.94,31334.40,0.11
1769005056,0.11,34.53,31334.40,0.11
1769005059,0.01,34.53,31334.40,0.11
1769005062,0.01,34.53,31334.40,0.11
1769005065,0.01,34.53,31334.40,0.11
1769005068,0.01,34.5,31334.40,0.11
1769005071,0.01,34.5,31334.40,0.11
1769005075,0.01,34.5,31334.40,0.11
1769005078,0.01,34.92,31334.40,0.11
1769005081,0.01,34.92,31334.40,0.11
1769005084,0.01,34.92,31334.40,0.11
1769005087,0.01,34.52,31334.40,0.11
1769005090,0.02,34.52,31334.40,0.11
1769005093,0.01,34.52,31334.40,0.11
1769005096,0.02,34.49,31334.40,0.11
1769005099,0.02,34.49,31334.40,0.11
1769005102,0.00,34.49,31334.40,0.11
1769005105,0.44,34.91,31334.40,0.11
1769005108,0.01,34.91,31334.40,0.11
1769005112,0.01,34.91,31334.40,0.11
1769005115,0.01,34.91,31334.40,0.11
1769005118,0.01,34.52,31334.40,0.11
1769005121,0.01,34.52,31334.40,0.11
1769005124,0.01,34.52,31334.40,0.11
1769005127,0.01,34.49,31334.40,0.11
1769005130,0.01,34.49,31334.40,0.11
1769005133,0.01,34.49,31334.40,0.11
1769005136,0.62,34.91,31334.40,0.11
1769005139,0.01,34.91,31334.40,0.11
1769005142,0.01,34.91,31334.40,0.11
1769005145,0.17,34.74,31334.40,0.11
1769005148,0.00,34.52,31334.40,0.11
1769005151,0.01,34.52,31334.40,0.11
1769005154,0.01,34.52,31334.40,0.11
1769005158,0.01,34.49,31334.40,0.11
1769005161,0.01,34.49,31334.40,0.11
1769005164,0.00,34.49,31334.40,0.11
1769005167,0.04,34.91,31334.40,0.11
1769005170,0.02,34.91,31334.40,0.11
1769005173,0.01,34.91,31334.40,0.11
1769005176,0.25,34.54,31334.40,0.11
1769005179,0.01,34.54,31334.40,0.11
1769005182,0.01,34.54,31334.40,0.11
1769005185,0.02,34.54,31334.40,0.11
1769005188,0.02,34.51,31334.40,0.11
1769005191,0.01,34.51,31334.40,0.11
1769005195,0.00,34.51,31334.40,0.11
1769005198,0.01,34.93,31334.40,0.11
