timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769004994,78.49,147.1,31334.40,0.47
1769004997,306.35,172.6,31334.40,0.55
1769005000,0.60,182.9,31334.40,0.58
1769005003,0.58,182.9,31334.40,0.58
1769005006,0.62,182.9,31334.40,0.58
1769005009,0.52,182.9,31334.40,0.58
1769005012,0.58,182.9,31334.40,0.58
1769005015,0.63,182.9,31334.40,0.58
1769005018,0.52,182.9,31334.40,0.58
1769005021,0.52,182.9,31334.40,0.58
1769005024,0.53,182.9,31334.40,0.58
1769005028,0.50,182.9,31334.40,0.58
1769005031,0.59,182.9,31334.40,0.58
1769005034,0.47,182.9,31334.40,0.58
1769005037,0.64,182.9,31334.40,0.58
1769005040,0.52,182.9,31334.40,0.58
1769005043,0.59,182.9,31334.40,0.58
1769005046,0.50,182.9,31334.40,0.58
1769005049,0.51,182.9,31334.40,0.58
1769005052,0.54,182.9,31334.40,0.58
1769005055,0.46,182.9,31334.40,0.58
1769005058,0.63,182.9,31334.40,0.58
1769005061,0.46,182.9,31334.40,0.58
1769005064,0.43,182.9,31334.40,0.58
1769005067,0.55,182.9,31334.40,0.58
1769005070,0.67,182.9,31334.40,0.58
1769005074,0.58,182.9,31334.40,0.58
1769005077,0.55,182.9,31334.40,0.58
1769005080,0.54,182.9,31334.40,0.58
1769005083,0.65,182.9,31334.40,0.58
1769005086,0.62,182.9,31334.40,0.58
1769005089,0.57,182.9,31334.40,0.58
1769005092,0.65,182.9,31334.40,0.58
1769005095,0.75,182.9,31334.40,0.58
1769005098,68.99,183.3,31334.40,0.59
1769005101,68.26,183.8,31334.40,0.59
1769005104,69.29,183.8,31334.40,0.59
1769005107,70.96,184.3,31334.40,0.59
1769005111,71.57,184.5,31334.40,0.59
1769005114,72.56,184.8,31334.40,0.59
1769005117,72.55,185.2,31334.40,0.59
1769005120,68.43,184.8,31334.40,0.59
1769005123,70.18,184.9,31334.40,0.59
1769005126,69.96,185.1,31334.40,0.59
1769005129,69.82,184.9,31334.40,0.59
1769005132,68.14,184.9,31334.40,0.59
