timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769004995,0.11,37.65,31334.40,0.12
1769004998,0.12,37.65,31334.40,0.12
1769005001,100.23,37.81,31334.40,0.12
1769005004,38.21,37.9,31334.40,0.12
1769005007,0.15,37.9,31334.40,0.12
1769005010,0.17,37.9,31334.40,0.12
1769005013,0.13,37.9,31334.40,0.12
1769005016,0.13,37.9,31334.40,0.12
1769005019,0.13,37.9,31334.40,0.12
1769005022,0.13,37.9,31334.40,0.12
1769005025,0.16,37.9,31334.40,0.12
1769005029,0.14,37.9,31334.40,0.12
1769005032,0.18,37.9,31334.40,0.12
1769005035,0.13,37.9,31334.40,0.12
1769005038,0.16,37.9,31334.40,0.12
1769005041,0.14,37.9,31334.40,0.12
1769005044,0.14,37.9,31334.40,0.12
1769005047,0.14,37.9,31334.40,0.12
1769005050,0.14,37.9,31334.40,0.12
1769005053,0.13,37.9,31334.40,0.12
1769005056,0.13,37.9,31334.40,0.12
1769005059,0.13,37.9,31334.40,0.12
1769005062,0.15,37.9,31334.40,0.12
1769005065,0.15,37.9,31334.40,0.12
1769005068,0.16,37.9,31334.40,0.12
1769005071,0.16,37.9,31334.40,0.12
1769005075,0.17,37.9,31334.40,0.12
1769005078,0.18,37.9,31334.40,0.12
1769005081,0.17,37.9,31334.40,0.12
1769005084,0.19,37.9,31334.40,0.12
1769005087,0.17,37.9,31334.40,0.12
1769005090,0.20,37.9,31334.40,0.12
1769005093,0.22,37.9,31334.40,0.12
1769005096,0.18,37.9,31334.40,0.12
1769005099,0.14,37.9,31334.40,0.12
1769005102,0.13,37.9,31334.40,0.12
1769005105,0.14,37.9,31334.40,0.12
1769005108,0.11,37.9,31334.40,0.12
1769005112,0.14,37.9,31334.40,0.12
1769005115,0.11,37.9,31334.40,0.12
1769005118,0.16,37.9,31334.40,0.12
1769005121,0.14,37.9,31334.40,0.12
1769005124,0.15,37.9,31334.40,0.12
1769005127,0.11,37.9,31334.40,0.12
1769005130,0.13,37.9,31334.40,0.12
1769005133,0.12,37.9,31334.40,0.12
1769005136,0.13,37.9,31334.40,0.12
1769005139,0.15,37.9,31334.40,0.12
1769005142,0.12,37.9,31334.40,0.12
1769005145,0.14,37.9,31334.40,0.12
1769005148,0.14,37.9,31334.40,0.12
1769005151,0.12,37.9,31334.40,0.12
1769005154,0.13,37.9,31334.40,0.12
1769005157,0.16,37.9,31334.40,0.12
1769005161,0.18,37.9,31334.40,0.12
1769005164,0.17,37.9,31334.40,0.12
1769005167,0.19,37.9,31334.40,0.12
1769005170,0.19,37.9,31334.40,0.12
1769005173,0.17,37.9,31334.40,0.12
1769005176,0.18,37.9,31334.40,0.12
1769005179,0.16,37.9,31334.40,0.12
1769005182,0.16,37.9,31334.40,0.12
1769005185,0.18,37.9,31334.40,0.12
1769005188,46.74,37.95,31334.40,0.12
1769005191,58.38,37.95,31334.40,0.12
1769005195,60.51,37.95,31334.40,0.12
1769005198,55.65,38.2,31334.40,0.12
1769005201,61.15,37.95,31334.40,0.12
1769005204,56.03,37.95,31334.40,0.12
1769005207,58.41,37.95,31334.40,0.12
1769005210,63.27,37.95,31334.40,0.12
1769005213,62.63,37.95,31334.40,0.12
1769005216,59.67,37.95,31334.40,0.12
1769005219,59.10,37.95,31334.40,0.12
1769005222,57.74,37.95,31334.40,0.12
1769005225,59.75,37.95,31334.40,0.12
1769005228,63.00,37.95,31334.40,0.12
1769005231,57.46,37.95,31334.40,0.12
1769005235,58.41,37.95,31334.40,0.12
1769005238,62.32,37.96,31334.40,0.12
1769005241,59.43,37.96,31334.40,0.12
1769005244,61.04,37.96,31334.40,0.12
1769005247,61.29,37.96,31334.40,0.12
1769005250,0.17,37.95,31334.40,0.12
1769005253,0.18,37.95,31334.40,0.12
1769005256,0.17,37.95,31334.40,0.12
1769005259,0.19,37.95,31334.40,0.12
1769005262,0.20,37.95,31334.40,0.12
1769005265,0.16,37.95,31334.40,0.12
1769005268,0.18,37.95,31334.40,0.12
1769005272,0.17,37.95,31334.40,0.12
1769005275,0.18,37.95,31334.40,0.12
1769005278,0.16,37.95,31334.40,0.12
1769005281,0.15,37.95,31334.40,0.12
