timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769004995,0.11,150.1,31334.40,0.48
1769004998,0.09,150.1,31334.40,0.48
1769005001,0.17,150.1,31334.40,0.48
1769005004,0.16,150.2,31334.40,0.48
1769005007,0.12,150.2,31334.40,0.48
1769005010,0.14,150.2,31334.40,0.48
1769005013,0.22,150.2,31334.40,0.48
1769005016,0.09,150.2,31334.40,0.48
1769005019,0.09,150.2,31334.40,0.48
1769005022,469.73,246.6,31334.40,0.79
1769005025,135.18,372.4,31334.40,1.19
1769005029,0.12,340.3,31334.40,1.09
1769005032,0.18,340.1,31334.40,1.09
1769005035,0.12,340.1,31334.40,1.09
1769005038,0.15,340.1,31334.40,1.09
1769005041,0.14,340.1,31334.40,1.09
1769005044,0.21,340.1,31334.40,1.09
1769005047,0.17,340.1,31334.40,1.09
1769005050,0.13,340.1,31334.40,1.09
1769005053,0.20,340.1,31334.40,1.09
1769005056,0.13,339,31334.40,1.08
1769005059,0.13,339,31334.40,1.08
1769005062,0.18,339,31334.40,1.08
1769005065,0.14,339,31334.40,1.08
1769005068,0.23,339,31334.40,1.08
1769005071,0.18,339,31334.40,1.08
1769005075,0.29,339,31334.40,1.08
1769005078,0.31,339,31334.40,1.08
1769005081,0.38,339,31334.40,1.08
1769005084,0.54,339,31334.40,1.08
1769005087,0.21,339,31334.40,1.08
1769005090,0.21,339,31334.40,1.08
1769005093,0.31,339,31334.40,1.08
1769005096,0.32,339,31334.40,1.08
1769005099,0.18,339,31334.40,1.08
1769005102,0.19,339,31334.40,1.08
1769005105,0.19,339,31334.40,1.08
1769005108,0.13,339,31334.40,1.08
1769005112,0.18,339,31334.40,1.08
1769005115,0.17,339.1,31334.40,1.08
1769005118,0.17,339.1,31334.40,1.08
1769005121,0.36,339.1,31334.40,1.08
1769005124,0.50,339.1,31334.40,1.08
1769005127,0.29,339.1,31334.40,1.08
1769005130,0.57,339.1,31334.40,1.08
1769005133,0.23,339.1,31334.40,1.08
1769005136,4.20,339.1,31334.40,1.08
1769005139,0.27,339.1,31334.40,1.08
1769005142,1.26,339.2,31334.40,1.08
1769005145,0.16,339.2,31334.40,1.08
1769005148,0.19,339.2,31334.40,1.08
1769005151,0.17,339.2,31334.40,1.08
1769005154,0.26,339.2,31334.40,1.08
1769005157,0.19,339.2,31334.40,1.08
1769005161,0.22,339.2,31334.40,1.08
1769005164,0.25,339.2,31334.40,1.08
1769005167,0.21,339.2,31334.40,1.08
1769005170,0.20,339.2,31334.40,1.08
1769005173,0.33,339.2,31334.40,1.08
1769005176,0.34,339.2,31334.40,1.08
1769005179,0.21,339.2,31334.40,1.08
1769005182,0.20,339.2,31334.40,1.08
1769005185,0.20,339.2,31334.40,1.08
1769005188,0.18,339.2,31334.40,1.08
1769005191,0.20,339.2,31334.40,1.08
1769005195,0.16,339.2,31334.40,1.08
1769005198,0.17,339.2,31334.40,1.08
1769005201,0.21,339.2,31334.40,1.08
1769005204,0.25,339.2,31334.40,1.08
1769005207,0.18,339.2,31334.40,1.08
1769005210,0.17,339.2,31334.40,1.08
1769005213,0.38,339.2,31334.40,1.08
1769005216,0.25,339.2,31334.40,1.08
1769005219,0.31,339.2,31334.40,1.08
1769005222,0.41,339.2,31334.40,1.08
1769005225,0.20,339.2,31334.40,1.08
1769005228,0.18,339.2,31334.40,1.08
1769005231,2.99,339.2,31334.40,1.08
1769005235,0.22,339.2,31334.40,1.08
1769005238,0.21,339.2,31334.40,1.08
1769005241,0.54,339.3,31334.40,1.08
1769005244,0.31,339.3,31334.40,1.08
1769005247,0.23,339.3,31334.40,1.08
1769005250,0.72,339.3,31334.40,1.08
1769005253,0.36,339.3,31334.40,1.08
1769005256,0.24,339.3,31334.40,1.08
1769005259,0.29,339.3,31334.40,1.08
1769005262,0.27,339.3,31334.40,1.08
1769005265,0.19,339.3,31334.40,1.08
1769005268,0.27,339.3,31334.40,1.08
1769005272,0.19,339.3,31334.40,1.08
1769005275,0.20,339.3,31334.40,1.08
1769005278,0.18,339.3,31334.40,1.08
1769005281,0.19,339.3,31334.40,1.08
1769005284,0.29,339.3,31334.40,1.08
1769005287,0.19,339.3,31334.40,1.08
1769005290,0.17,339.3,31334.40,1.08
1769005293,0.23,339.3,31334.40,1.08
1769005296,0.18,339.3,31334.40,1.08
1769005299,0.18,339.3,31334.40,1.08
1769005302,0.18,339.3,31334.40,1.08
1769005305,0.19,339.3,31334.40,1.08
1769005309,0.20,339.3,31334.40,1.08
1769005312,0.18,339.3,31334.40,1.08
1769005315,0.18,339.3,31334.40,1.08
1769005318,0.26,339.3,31334.40,1.08
1769005321,0.24,339.3,31334.40,1.08
1769005324,0.23,339.3,31334.40,1.08
1769005327,0.25,339.3,31334.40,1.08
1769005330,0.17,339.3,31334.40,1.08
1769005333,0.24,339.3,31334.40,1.08
1769005336,0.20,339.3,31334.40,1.08
1769005339,0.23,339.3,31334.40,1.08
1769005342,0.21,339.3,31334.40,1.08
1769005346,0.29,339.3,31334.40,1.08
