timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769004995,0.01,14.21,31334.40,0.05
1769004998,0.01,14.16,31334.40,0.05
1769005001,0.01,14.16,31334.40,0.05
1769005004,0.01,14.16,31334.40,0.05
1769005007,0.01,14.16,31334.40,0.05
1769005010,0.01,14.16,31334.40,0.05
1769005013,0.01,14.16,31334.40,0.05
1769005016,0.01,14.16,31334.40,0.05
1769005019,0.01,14.16,31334.40,0.05
1769005022,0.05,14.24,31334.40,0.05
1769005025,0.01,14.24,31334.40,0.05
1769005029,0.01,14.21,31334.40,0.05
1769005032,0.01,14.21,31334.40,0.05
1769005035,0.00,14.21,31334.40,0.05
1769005038,0.01,14.21,31334.40,0.05
1769005041,0.01,14.21,31334.40,0.05
1769005044,408.34,55.45,31334.40,0.18
1769005047,74.02,66.41,31334.40,0.21
1769005050,0.01,66.41,31334.40,0.21
1769005053,0.02,66.4,31334.40,0.21
1769005056,0.02,66.36,31334.40,0.21
1769005059,0.04,66.36,31334.40,0.21
1769005062,0.07,66.36,31334.40,0.21
1769005065,0.01,66.36,31334.40,0.21
1769005068,0.01,65.65,31334.40,0.21
1769005071,0.01,65.59,31334.40,0.21
1769005075,0.01,65.59,31334.40,0.21
1769005078,0.01,65.54,31334.40,0.21
1769005081,0.01,65.54,31334.40,0.21
1769005084,0.02,65.84,31334.40,0.21
1769005087,0.03,65.8,31334.40,0.21
1769005090,0.01,65.8,31334.40,0.21
1769005093,0.12,65.89,31334.40,0.21
1769005096,0.01,65.89,31334.40,0.21
1769005099,0.01,65.86,31334.40,0.21
1769005102,0.18,65.9,31334.40,0.21
1769005105,0.01,65.9,31334.40,0.21
1769005108,0.00,65.86,31334.40,0.21
1769005112,0.00,65.86,31334.40,0.21
1769005115,0.01,65.86,31334.40,0.21
1769005118,0.01,65.86,31334.40,0.21
1769005121,0.01,65.86,31334.40,0.21
1769005124,0.01,65.86,31334.40,0.21
1769005127,0.01,65.86,31334.40,0.21
1769005130,0.00,65.86,31334.40,0.21
1769005133,0.02,65.86,31334.40,0.21
1769005136,0.01,65.86,31334.40,0.21
1769005139,0.01,65.86,31334.40,0.21
1769005142,0.06,65.86,31334.40,0.21
1769005145,0.01,65.86,31334.40,0.21
1769005148,0.01,65.86,31334.40,0.21
1769005151,0.01,65.86,31334.40,0.21
1769005154,0.01,65.9,31334.40,0.21
1769005157,0.01,65.86,31334.40,0.21
1769005161,0.01,65.86,31334.40,0.21
1769005164,0.02,65.86,31334.40,0.21
1769005167,0.01,65.86,31334.40,0.21
1769005170,0.01,65.86,31334.40,0.21
1769005173,0.04,65.91,31334.40,0.21
1769005176,0.02,65.87,31334.40,0.21
1769005179,0.01,65.87,31334.40,0.21
1769005182,0.07,65.87,31334.40,0.21
1769005185,0.01,65.87,31334.40,0.21
1769005188,0.01,65.87,31334.40,0.21
1769005191,0.01,65.87,31334.40,0.21
1769005194,0.01,65.87,31334.40,0.21
1769005198,0.00,65.87,31334.40,0.21
1769005201,0.01,65.87,31334.40,0.21
1769005204,0.01,65.87,31334.40,0.21
1769005207,0.01,65.87,31334.40,0.21
1769005210,0.01,65.87,31334.40,0.21
1769005213,0.02,65.87,31334.40,0.21
1769005216,0.01,65.87,31334.40,0.21
1769005219,0.01,65.87,31334.40,0.21
1769005222,0.16,65.9,31334.40,0.21
1769005225,0.01,65.9,31334.40,0.21
1769005228,0.01,65.87,31334.40,0.21
1769005231,0.01,65.87,31334.40,0.21
1769005235,0.02,65.87,31334.40,0.21
1769005238,0.01,65.87,31334.40,0.21
1769005241,0.00,65.87,31334.40,0.21
1769005244,0.02,65.91,31334.40,0.21
1769005247,0.02,65.87,31334.40,0.21
1769005250,0.01,65.87,31334.40,0.21
1769005253,0.08,65.91,31334.40,0.21
1769005256,0.01,65.91,31334.40,0.21
1769005259,0.01,65.87,31334.40,0.21
1769005262,0.06,65.87,31334.40,0.21
1769005265,0.01,65.87,31334.40,0.21
1769005268,0.01,65.87,31334.40,0.21
1769005272,0.02,65.87,31334.40,0.21
1769005275,0.02,65.9,31334.40,0.21
1769005278,0.01,65.87,31334.40,0.21
1769005281,0.01,65.87,31334.40,0.21
1769005284,0.01,66.04,31334.40,0.21
1769005287,0.01,66,31334.40,0.21
1769005290,0.01,66,31334.40,0.21
1769005293,0.03,66,31334.40,0.21
1769005296,0.01,66,31334.40,0.21
1769005299,0.01,66,31334.40,0.21
1769005302,0.94,66.6,31334.40,0.21
1769005305,0.01,66.6,31334.40,0.21
1769005309,0.01,66.56,31334.40,0.21
1769005312,0.01,66.56,31334.40,0.21
1769005315,0.02,66.6,31334.40,0.21
1769005318,0.01,66.56,31334.40,0.21
1769005321,0.01,66.56,31334.40,0.21
1769005324,0.02,66.6,31334.40,0.21
1769005327,0.01,66.56,31334.40,0.21
1769005330,0.01,66.56,31334.40,0.21
1769005333,0.02,66.6,31334.40,0.21
1769005336,0.03,66.56,31334.40,0.21
1769005339,0.01,66.56,31334.40,0.21
1769005342,0.97,66.68,31334.40,0.21
1769005346,0.01,66.68,31334.40,0.21
1769005349,0.01,66.64,31334.40,0.21
1769005352,0.05,66.64,31334.40,0.21
1769005355,0.01,66.64,31334.40,0.21
1769005358,0.01,66.64,31334.40,0.21
1769005361,0.01,66.64,31334.40,0.21
1769005364,0.01,66.64,31334.40,0.21
1769005367,0.01,66.64,31334.40,0.21
1769005370,0.01,66.64,31334.40,0.21
1769005373,0.01,66.57,31334.40,0.21
1769005376,0.01,66.57,31334.40,0.21
1769005379,0.00,66.57,31334.40,0.21
1769005382,0.01,66.57,31334.40,0.21
1769005386,0.01,66.57,31334.40,0.21
1769005389,0.01,66.57,31334.40,0.21
1769005392,0.00,66.57,31334.40,0.21
1769005395,0.01,66.57,31334.40,0.21
1769005398,0.01,66.57,31334.40,0.21
1769005401,0.01,66.57,31334.40,0.21
1769005404,0.01,66.57,31334.40,0.21
1769005407,0.01,66.57,31334.40,0.21
1769005410,0.00,66.57,31334.40,0.21
1769005413,0.01,66.57,31334.40,0.21
1769005416,0.01,66.57,31334.40,0.21
1769005419,0.01,66.57,31334.40,0.21
1769005422,0.01,66.57,31334.40,0.21
1769005425,0.01,66.57,31334.40,0.21
1769005428,0.00,66.57,31334.40,0.21
1769005431,0.01,66.57,31334.40,0.21
1769005435,0.03,66.57,31334.40,0.21
1769005438,0.01,66.57,31334.40,0.21
1769005441,0.01,66.57,31334.40,0.21
1769005444,0.02,66.57,31334.40,0.21
1769005447,0.01,66.57,31334.40,0.21
1769005450,0.00,66.57,31334.40,0.21
1769005453,0.01,66.57,31334.40,0.21
1769005456,0.01,66.57,31334.40,0.21
1769005459,0.01,66.57,31334.40,0.21
1769005462,0.01,66.57,31334.40,0.21
1769005465,0.01,66.57,31334.40,0.21
1769005468,0.01,66.57,31334.40,0.21
1769005472,0.01,66.57,31334.40,0.21
1769005475,0.01,66.57,31334.40,0.21
1769005478,0.01,66.57,31334.40,0.21
1769005481,0.01,66.57,31334.40,0.21
1769005484,0.02,66.57,31334.40,0.21
1769005487,0.01,66.57,31334.40,0.21
1769005490,0.01,66.57,31334.40,0.21
1769005493,0.01,66.57,31334.40,0.21
1769005496,0.01,66.57,31334.40,0.21
1769005499,0.01,66.57,31334.40,0.21
1769005502,0.01,66.57,31334.40,0.21
1769005505,0.01,66.57,31334.40,0.21
1769005509,0.01,66.57,31334.40,0.21
1769005512,0.01,66.57,31334.40,0.21
1769005515,0.01,66.57,31334.40,0.21
1769005518,0.01,66.57,31334.40,0.21
1769005521,0.00,66.57,31334.40,0.21
1769005524,0.01,66.57,31334.40,0.21
1769005527,0.01,66.57,31334.40,0.21
1769005530,0.01,66.57,31334.40,0.21
1769005533,0.01,66.57,31334.40,0.21
1769005536,0.01,66.57,31334.40,0.21
1769005539,0.01,66.57,31334.40,0.21
1769005543,0.01,66.57,31334.40,0.21
1769005546,0.01,66.57,31334.40,0.21
1769005549,0.01,66.57,31334.40,0.21
1769005552,0.00,66.57,31334.40,0.21
1769005555,0.01,66.57,31334.40,0.21
1769005558,0.00,66.57,31334.40,0.21
1769005561,0.00,66.57,31334.40,0.21
1769005564,0.02,66.57,31334.40,0.21
1769005567,0.01,66.57,31334.40,0.21
1769005570,0.01,66.57,31334.40,0.21
1769005573,0.01,66.57,31334.40,0.21
1769005576,0.01,66.57,31334.40,0.21
1769005579,0.01,66.57,31334.40,0.21
1769005583,0.01,66.57,31334.40,0.21
1769005586,0.02,66.57,31334.40,0.21
1769005589,0.01,66.57,31334.40,0.21
1769005592,0.01,66.57,31334.40,0.21
1769005595,0.01,66.57,31334.40,0.21
1769005598,0.01,66.57,31334.40,0.21
1769005601,0.00,66.57,31334.40,0.21
1769005604,0.01,66.57,31334.40,0.21
1769005607,0.01,66.57,31334.40,0.21
1769005610,0.01,66.57,31334.40,0.21
1769005613,0.01,66.57,31334.40,0.21
1769005616,0.01,66.57,31334.40,0.21
1769005619,0.01,66.57,31334.40,0.21
1769005623,0.01,66.57,31334.40,0.21
1769005626,0.01,66.57,31334.40,0.21
1769005629,0.01,66.57,31334.40,0.21
1769005632,0.01,66.57,31334.40,0.21
1769005635,0.01,66.57,31334.40,0.21
1769005638,0.01,66.57,31334.40,0.21
1769005641,0.01,66.57,31334.40,0.21
1769005644,0.01,66.57,31334.40,0.21
1769005647,0.01,66.57,31334.40,0.21
1769005650,0.01,66.57,31334.40,0.21
1769005653,0.01,66.57,31334.40,0.21
1769005656,0.01,66.57,31334.40,0.21
1769005659,0.01,66.57,31334.40,0.21
1769005663,0.00,66.57,31334.40,0.21
1769005666,0.01,66.57,31334.40,0.21
1769005669,0.01,66.57,31334.40,0.21
1769005672,0.00,66.57,31334.40,0.21
1769005675,0.00,66.57,31334.40,0.21
1769005678,0.00,66.57,31334.40,0.21
1769005681,0.01,66.57,31334.40,0.21
1769005684,0.01,66.57,31334.40,0.21
1769005687,0.00,66.57,31334.40,0.21
1769005690,0.01,66.57,31334.40,0.21
1769005693,0.01,66.57,31334.40,0.21
1769005696,0.01,66.57,31334.40,0.21
1769005699,0.01,66.57,31334.40,0.21
1769005702,0.01,66.57,31334.40,0.21
1769005705,0.01,66.57,31334.40,0.21
1769005709,0.01,66.57,31334.40,0.21
1769005712,0.01,66.57,31334.40,0.21
1769005715,0.01,66.57,31334.40,0.21
1769005718,0.01,66.57,31334.40,0.21
1769005721,0.01,66.57,31334.40,0.21
1769005724,0.01,66.57,31334.40,0.21
1769005727,0.01,66.57,31334.40,0.21
1769005730,0.01,66.57,31334.40,0.21
1769005733,0.01,66.57,31334.40,0.21
1769005736,0.01,66.57,31334.40,0.21
1769005739,0.01,66.57,31334.40,0.21
1769005742,0.01,66.57,31334.40,0.21
1769005746,0.01,66.57,31334.40,0.21
1769005749,0.01,66.57,31334.40,0.21
1769005752,0.01,66.57,31334.40,0.21
1769005755,0.01,66.57,31334.40,0.21
1769005758,0.01,66.57,31334.40,0.21
1769005761,0.01,66.57,31334.40,0.21
1769005764,0.01,66.57,31334.40,0.21
1769005767,0.01,66.57,31334.40,0.21
1769005770,0.01,66.57,31334.40,0.21
1769005773,0.02,66.57,31334.40,0.21
1769005776,0.01,66.57,31334.40,0.21
1769005780,0.01,66.57,31334.40,0.21
1769005783,0.01,66.57,31334.40,0.21
1769005786,0.01,66.57,31334.40,0.21
1769005789,0.01,66.57,31334.40,0.21
1769005792,0.01,66.57,31334.40,0.21
1769005795,0.01,66.57,31334.40,0.21
1769005798,0.00,66.57,31334.40,0.21
1769005801,0.01,66.57,31334.40,0.21
1769005804,0.02,66.57,31334.40,0.21
1769005807,0.01,66.57,31334.40,0.21
1769005810,0.01,66.57,31334.40,0.21
1769005813,0.01,66.57,31334.40,0.21
