timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769004995,0.00,17.27,31334.40,0.06
1769004998,0.00,17.27,31334.40,0.06
1769005001,0.10,17.27,31334.40,0.06
1769005004,0.01,17.27,31334.40,0.06
1769005007,0.00,17.27,31334.40,0.06
1769005010,0.01,17.27,31334.40,0.06
1769005013,0.00,17.27,31334.40,0.06
1769005016,0.00,17.27,31334.40,0.06
1769005019,0.00,17.27,31334.40,0.06
1769005022,0.01,17.32,31334.40,0.06
1769005026,0.01,17.32,31334.40,0.06
1769005029,0.01,17.32,31334.40,0.06
1769005032,0.08,17.32,31334.40,0.06
1769005035,0.01,17.32,31334.40,0.06
1769005038,0.01,17.32,31334.40,0.06
1769005041,0.07,17.29,31334.40,0.06
1769005044,0.00,17.29,31334.40,0.06
1769005047,0.01,17.29,31334.40,0.06
1769005050,0.01,17.29,31334.40,0.06
1769005053,0.00,17.29,31334.40,0.06
1769005056,0.00,17.29,31334.40,0.06
1769005059,200.07,28.46,31334.40,0.09
1769005062,68.12,24,31334.40,0.08
1769005065,0.00,24,31334.40,0.08
1769005068,0.01,24,31334.40,0.08
1769005071,0.10,24,31334.40,0.08
1769005075,0.02,24,31334.40,0.08
1769005078,0.00,24,31334.40,0.08
1769005081,0.02,23.97,31334.40,0.08
1769005084,0.01,23.64,31334.40,0.08
1769005087,0.03,23.64,31334.40,0.08
1769005090,0.01,23.64,31334.40,0.08
1769005093,0.01,23.59,31334.40,0.08
1769005096,0.01,23.59,31334.40,0.08
1769005099,0.00,23.59,31334.40,0.08
1769005102,0.01,23.59,31334.40,0.08
1769005105,0.01,23.59,31334.40,0.08
1769005108,0.01,23.59,31334.40,0.08
1769005112,0.07,23.59,31334.40,0.08
1769005115,0.01,23.59,31334.40,0.08
1769005118,0.01,23.59,31334.40,0.08
1769005121,0.01,23.59,31334.40,0.08
1769005124,0.01,23.59,31334.40,0.08
1769005127,0.01,23.59,31334.40,0.08
1769005130,0.01,23.59,31334.40,0.08
1769005133,0.00,23.59,31334.40,0.08
1769005136,0.00,23.59,31334.40,0.08
1769005139,0.01,23.59,31334.40,0.08
1769005142,0.02,23.59,31334.40,0.08
1769005145,0.00,23.59,31334.40,0.08
1769005148,0.00,23.59,31334.40,0.08
1769005151,0.11,23.59,31334.40,0.08
1769005154,0.00,23.59,31334.40,0.08
1769005157,0.01,23.59,31334.40,0.08
1769005161,0.01,23.59,31334.40,0.08
1769005164,0.01,23.59,31334.40,0.08
1769005167,0.01,23.59,31334.40,0.08
1769005170,0.01,23.59,31334.40,0.08
1769005173,0.02,23.59,31334.40,0.08
1769005176,0.01,23.59,31334.40,0.08
1769005179,0.01,23.59,31334.40,0.08
1769005182,0.02,23.59,31334.40,0.08
1769005185,0.01,23.59,31334.40,0.08
1769005188,0.01,23.59,31334.40,0.08
1769005191,0.08,23.59,31334.40,0.08
1769005195,0.01,23.59,31334.40,0.08
1769005198,0.01,23.59,31334.40,0.08
1769005201,0.01,23.59,31334.40,0.08
1769005204,0.01,23.59,31334.40,0.08
1769005207,0.01,23.59,31334.40,0.08
1769005210,0.01,23.59,31334.40,0.08
1769005213,0.01,23.59,31334.40,0.08
1769005216,0.01,23.59,31334.40,0.08
1769005219,0.01,23.59,31334.40,0.08
