"scenario","tag","vus","records","depth","sizeKb","duration","requests","rps","latencyAvg","latencyMed","latencyP90","latencyP95","latencyP99","latencyMax","dataReceivedBytes","dataSentBytes","failed"
"perf-test","axum-app-v0.8.9",1,100,"","","60s",6708,95.81523779239933,3.6519274730172993,2.95075,5.3341639999999995,5.662733999999998,7.8196949700000005,23.271591,469553292,3387540,0
"perf-test","axum-app-v0.8.9",100,100,"","","60s",11943,168.80132919674875,439.6400118121921,417.636147,776.9816428000001,922.8885552999999,1210.80951964,2357.065739,835998057,6031215,0
"perf-test","axum-app-v0.8.9",200,100,"","","60s",11879,167.2111229909818,797.0510882419409,752.571384,1408.5191508,1672.4333888,2450.853820959998,5563.16338,831518121,5998895,0
"perf-test","axum-app-v0.8.9",50,100,"","","60s",11903,169.43070078961875,203.16109949710125,181.440937,397.83770580000004,480.0461571999998,679.7436698399998,1259.11429,833198097,6011015,0
"perf-test","axum-app-v0.8.9",1,10,"","","60s",25675,366.7446908533006,1.5972834341187896,1.219917,2.5423624000000005,2.7416329999999998,3.6364671199999923,12.782512,180366875,12940200,0
"perf-test","axum-app-v0.8.9",100,10,"","","60s",101877,1454.1413655095869,61.13504189355778,62.940083,88.78776040000001,99.997348,132.56004480000047,286.909764,715685925,51346008,0
"perf-test","axum-app-v0.8.9",200,10,"","","60s",100289,1430.0076912821585,114.71984661350686,120.016612,177.3921188,196.41728,254.25457499999987,699.098613,704530225,50545152,0
"perf-test","axum-app-v0.8.9",50,10,"","","60s",104582,1493.3375872095883,29.2075123619361,29.1746075,44.56135900000002,49.99197495,65.92425990000001,172.761925,734688550,52709328,0
"perf-test","axum-app-v0.8.9",1,1,"","","60s",50258,717.9300998483357,1.0543887757769874,0.9898914999999999,1.461643,1.7558113499999994,2.518211700000001,8.928063,40759238,25279774,0
"perf-test","axum-app-v0.8.9",100,1,"","","60s",158520,2263.318890728409,40.8221560731636,37.739023,75.909234,86.87039004999998,106.81155140999998,185.147508,128559720,79735560,0
"perf-test","axum-app-v0.8.9",200,1,"","","60s",155664,2221.1826280653763,83.36494771415941,83.400579,121.8547467,131.90342350000003,152.13500229999985,243.763935,126243504,78298992,0
"perf-test","axum-app-v0.8.9",50,1,"","","60s",165561,2364.4886991658377,19.443758379733218,17.855692,35.630732,40.751555,51.08818999999998,101.703063,134269971,83277183,0
"perf-test","axum-app-v0.8.9",1,500,"","","60s",1435,20.496090804610546,15.733439358188162,17.091427,19.145583000000002,20.513090000000002,28.82991942000007,42.695241,507537975,724675,0
"perf-test","axum-app-v0.8.9",100,500,"","","60s",2538,35.321178110303045,841.4782443624905,768.5451410000001,1457.4273698000002,1686.7679817000003,2052.679047390001,2524.896515,897652530,1281690,0
"perf-test","axum-app-v0.8.9",200,500,"","","60s",2566,34.93517382012045,1757.0652092560415,1610.8179475000002,3059.746895,3481.335328,4383.546795699997,5555.502333,907555710,1295830,0
"perf-test","axum-app-v0.8.9",50,500,"","","60s",2512,35.39743648339665,405.58105422054047,368.4863565,697.1360514,805.7956830999999,1049.6885107399974,1385.307245,888456720,1268560,0
"large","axum-app-v0.8.9",25,"","",100,"60s",90266,1289.1647109124488,16.86491730371339,16.952185,27.4983675,31.1402275,42.05565750000013,114.074505,9254521650,10019526,0
"large","axum-app-v0.8.9",50,"","",100,"60s",91255,1302.9338133676006,34.41920981851909,34.757497,50.101400000000005,57.784656000000005,81.98270608000009,200.218094,9355918875,10129305,0
"large","axum-app-v0.8.9",25,"","",500,"60s",22058,314.7650896945167,67.86847874807346,67.757715,104.29785599999997,117.60411049999998,145.38687933000003,249.743845,11296453250,2448438,0
"large","axum-app-v0.8.9",50,"","",500,"60s",22414,319.56502528996566,139.0638521618636,139.240208,197.61679800000002,219.75913799999995,263.18776692999995,438.953832,11478769750,2487954,0
"params","axum-app-v0.8.9",100,"","","","60s",681217,9730.797962397884,9.446904325651145,9.403486,13.997066000000002,17.565565799999995,26.303022039999952,173.164682,118531758,249325422,0
"params","axum-app-v0.8.9",200,"","","","60s",685030,9783.234648227728,18.755685729348986,18.6561195,27.785564899999997,35.6894495,48.49875039999994,131.771952,119195220,250720980,0
"params","axum-app-v0.8.9",50,"","","","60s",683776,9767.674803152358,4.671766070501221,4.4000635,7.186928,8.7522945,13.94365775,124.526962,118977024,250262016,0
"minimal","axum-app-v0.8.9",100,"","","","30s",505911,12643.942620675576,6.842792219188645,6.829505,10.140042,13.7817985,23.293085000000005,103.657232,80944140,46543812,0
"minimal","axum-app-v0.8.9",200,"","","","30s",510074,12748.9120393558,13.480266370315055,13.221196,21.242510700000004,29.432237999999984,42.79789780000006,107.118439,81610131,46926808,0
"minimal","axum-app-v0.8.9",500,"","","","30s",503153,12573.764264835761,34.095522379181034,30.753409,62.3936162,80.68305339999998,99.72090159999999,196.547276,80502983,46290076,0
"nested","axum-app-v0.8.9",100,100,1,"","60s",112495,1605.7707311102515,54.56593673310862,54.838028,84.70034600000001,97.36018599999997,140.987473,322.625019,381920525,12711935,0
"nested","axum-app-v0.8.9",50,100,1,"","60s",116465,1662.9343865007927,25.924403209968695,25.367225,41.169859,46.97842619999999,65.52541552000001,168.504092,395398675,13160545,0
"nested","axum-app-v0.8.9",100,100,2,"","60s",92262,1316.5221981908146,65.28737247020446,64.63001750000001,106.78350810000002,133.38692149999997,185.50256016999998,366.977455,368586690,10425606,0
"nested","axum-app-v0.8.9",50,100,2,"","60s",94153,1344.3879913865069,31.298800621179744,29.958838,51.43142220000001,62.148779999999995,90.76203559999998,240.42053,376141235,10639289,0
"nested","axum-app-v0.8.9",100,100,3,"","60s",76894,1096.436529390743,77.35629789393151,76.072044,131.262619,163.1601784999999,233.2407015999999,548.036231,353327930,8689022,0
"nested","axum-app-v0.8.9",50,100,3,"","60s",79860,1140.2319358827913,36.213611553017735,32.979946999999996,63.61754390000001,82.48584445,123.70774901000014,278.063593,366956700,9024180,0
"post","axum-app-v0.8.9",100,100,"","","60s",37696,537.1921727808813,151.97606122986593,146.618315,280.844984,347.607107,497.79702545000066,931.333387,384348416,8594688,0
"post","axum-app-v0.8.9",200,100,"","","60s",36654,520.9078566408735,277.3538026348296,271.37892850000003,482.90006400000027,572.0984916499999,836.9994282600003,1429.809478,373724184,8357112,0
"post","axum-app-v0.8.9",50,100,"","","60s",38389,547.6520419934543,73.8879017472187,69.966087,129.20691300000016,161.24251839999982,228.58632920000025,460.896942,391414244,8752692,0
"post","axum-app-v0.8.9",100,10,"","","60s",269093,3842.384872808731,23.49923085280544,22.064917,39.122967,44.273662,54.93090540000002,111.417522,296540486,61084111,0
"post","axum-app-v0.8.9",200,10,"","","60s",257822,3678.240402713013,47.800337604998006,47.1044775,75.5127162,82.16952149999999,100.77391279000007,257.688058,284119844,58525594,0
"post","axum-app-v0.8.9",50,10,"","","60s",285580,4078.8262310811624,10.892613993203407,9.313927,22.511730900000003,26.624963449999996,33.44408389,88.381671,314709160,64826660,0
"perf-test","bun-app-v1.3.14",1,100,"","","60s",6181,88.28662916532494,4.410183736288629,4.358296,6.011079,6.535869,8.854102999999999,23.368001,461714519,3121405,0
"perf-test","bun-app-v1.3.14",100,100,"","","60s",11492,162.97378190407753,452.5500401043334,425.767968,806.1454494999996,954.3196794999998,1277.1759419800003,2603.32607,858440908,5803460,0
"perf-test","bun-app-v1.3.14",200,100,"","","60s",11644,163.81886671578945,813.4840213965113,772.775673,1437.9297899000003,1726.2080135,2300.804548449998,4389.873486,869795156,5880220,0
"perf-test","bun-app-v1.3.14",50,100,"","","60s",11554,164.39815602863214,207.69281731045623,184.30247450000002,401.0069063,492.14702415000005,693.2631369999998,1227.970618,863072246,5834770,0
"perf-test","bun-app-v1.3.14",1,10,"","","60s",26072,372.4489669212694,1.4991103373350745,1.2700304999999998,2.4839029000000004,2.762280999999996,3.7680756900000008,25.695901,195409640,13140288,0
"perf-test","bun-app-v1.3.14",100,10,"","","60s",100183,1428.958298285985,62.03109343187968,63.846847,91.595755,103.23099499999998,137.44382899999988,283.824169,750871585,50492232,0
"perf-test","bun-app-v1.3.14",200,10,"","","60s",96680,1378.4676209789368,116.71266892374895,121.447667,183.94780600000004,201.79653900000002,279.23905340000033,622.037623,724616600,48726720,0
"perf-test","bun-app-v1.3.14",50,10,"","","60s",101550,1450.0190819369832,30.00442794546533,29.812554499999997,45.911078100000005,52.05061044999998,71.01586859999988,153.840501,761117250,51181200,0
"perf-test","bun-app-v1.3.14",1,1,"","","60s",51681,738.2948370620162,1.0744852746850755,0.930557,1.793554,1.988454,2.7614357999999997,48.042413,44342298,25995543,0
"perf-test","bun-app-v1.3.14",100,1,"","","60s",211194,3015.8311337857294,30.576845698452946,26.570343,59.1926337,72.35098099999996,99.41106067000017,701.284686,181204452,106230582,0
"perf-test","bun-app-v1.3.14",200,1,"","","60s",219982,3139.9927174090753,58.90462899752245,46.800731,124.5809891,147.7149331,186.63025909,730.280068,188744556,110650946,0
"perf-test","bun-app-v1.3.14",50,1,"","","60s",214791,3067.8749609681076,14.932998899944613,13.860702,27.523646,34.237583,46.37059820000002,330.921946,184290678,108039873,0
"perf-test","bun-app-v1.3.14",1,500,"","","60s",1375,19.637707197067126,17.07390757527277,18.072325,19.796615000000003,21.4275143,33.01390608,56.423352,518629375,694375,0
"perf-test","bun-app-v1.3.14",100,500,"","","60s",2465,34.31935280047345,859.8219341314403,776.174488,1556.3041278,1748.8161753999987,2289.6462192400036,3395.431845,929761025,1244825,0
"perf-test","bun-app-v1.3.14",200,500,"","","60s",2515,34.11695163761755,1821.9826765157031,1634.551284,3180.615019799999,3556.6687664999995,5184.49281642,9820.859923,948620275,1282700,0
"perf-test","bun-app-v1.3.14",50,500,"","","60s",2445,34.478083800010104,414.22788387730117,381.678811,708.9300578,794.9100085999997,990.8775295999998,1288.861585,922217325,1234725,0
"large","bun-app-v1.3.14",25,"","",100,"60s",98594,1408.0028684654612,14.986387575400094,13.891081,25.872022299999998,30.17359519999999,41.86470359999992,147.786673,10108349850,10943934,0
"large","bun-app-v1.3.14",50,"","",100,"60s",97950,1398.6027242677126,31.231972613425448,30.6059925,48.39303780000001,56.786540550000026,79.08338010999996,202.341007,10042323750,10872450,0
"large","bun-app-v1.3.14",25,"","",500,"60s",23380,333.6430429392523,59.56918936163381,56.6270795,97.53638090000001,113.02504905,145.75303069999995,281.925712,11973482500,2595180,0
"large","bun-app-v1.3.14",50,"","",500,"60s",23849,340.04064189078076,124.73099218038485,122.785239,190.223455,229.1215413999999,298.6718841600001,572.127086,12213669125,2647239,0
"params","bun-app-v1.3.14",100,"","","","60s",1011765,14453.079004559298,6.11505391730304,4.931172,12.519956599999999,15.116505199999997,24.463869359999997,108.800476,176047110,370305990,0
"params","bun-app-v1.3.14",200,"","","","60s",918479,13117.810681886225,12.152079453588916,10.513122,22.156373000000013,28.724846899999996,43.329567799999985,118.475289,159815346,336163314,0
"params","bun-app-v1.3.14",50,"","","","60s",1060965,15155.963310731491,2.9877986730182924,2.399412,5.8259954,7.364115999999997,12.438711800000064,83.054995,184607910,388313190,0
"minimal","bun-app-v1.3.14",100,"","","","30s",644421,16106.337321291765,5.285348369176312,4.170673,11.180889,13.578769,22.197719800000037,70.268677,101174097,59286732,0
"minimal","bun-app-v1.3.14",200,"","","","30s",591293,14776.663997960393,10.753624514834348,9.19291,20.253321000000003,25.666344600000013,40.231692719999955,100.051902,92833001,54398956,0
"minimal","bun-app-v1.3.14",500,"","","","30s",539563,13482.675510089444,31.01475987542435,28.800592,54.131722999999994,73.09808009999999,90.951251,170.383322,84711391,49639796,0
"nested","bun-app-v1.3.14",100,100,1,"","60s",110560,1577.8822357923195,55.72749960964202,56.287024,85.4774311,97.26838804999996,138.49461661000032,343.749018,375351200,12493280,0
"nested","bun-app-v1.3.14",50,100,1,"","60s",116070,1657.4981092974974,25.989530210200762,25.4040405,41.164067100000004,47.31415699999994,66.94952909999998,171.530457,394057650,13115910,0
"nested","bun-app-v1.3.14",100,100,2,"","60s",90321,1288.7992013390071,66.52635379056883,66.106749,107.69972,134.143122,189.89921320000022,457.59793,360832395,10206273,0
"nested","bun-app-v1.3.14",50,100,2,"","60s",92916,1326.7451565829513,31.75136624871905,30.4479665,51.973432,62.56374275,92.53234770000027,207.831486,371199420,10499508,0
"nested","bun-app-v1.3.14",100,100,3,"","60s",75789,1081.0573049007342,78.48061227997404,77.152273,133.68520759999993,168.68019299999972,233.25705603999975,507.665921,348250455,8564157,0
"nested","bun-app-v1.3.14",50,100,3,"","60s",78975,1127.3571785180766,36.52430154293129,32.962348,64.30459940000001,83.73911200000002,125.5428864,294.261657,362890125,8924175,0
"post","bun-app-v1.3.14",100,100,"","","60s",91679,1308.3892121926297,67.75588709522177,68.94249,101.626018,113.79543689999998,157.52179900000002,337.212054,1063109684,20902812,0
"post","bun-app-v1.3.14",200,100,"","","60s",90235,1285.8636950690955,128.692500564748,134.294253,196.961952,211.533818,286.9625442000005,553.453314,1046365060,20573580,0
"post","bun-app-v1.3.14",50,100,"","","60s",94037,1342.264135095205,32.265150604517395,32.183429,49.462142000000014,56.37363199999998,76.64803223999999,201.054617,1090453052,21440436,0
"post","bun-app-v1.3.14",100,10,"","","60s",482946,6897.020156018673,13.098081423517662,11.8986075,23.8206245,29.244014,39.15641205,86.821214,600301878,109628742,0
"post","bun-app-v1.3.14",200,10,"","","60s",453030,6469.029668333934,27.63252522088096,25.4165275,47.687324000000004,54.625337,67.02751300000007,136.709565,563116290,102837810,0
"post","bun-app-v1.3.14",50,10,"","","60s",522423,7461.497676216002,6.015909480834355,4.990762,12.418545799999999,14.755918,20.92963257999998,55.629338,649371789,118590021,0
"perf-test","deno-app-v2.9.2",1,100,"","","60s",6163,88.02905870485806,4.307945524582172,4.165176,5.797060800000001,6.137409099999999,8.590138180000002,19.822314,460369937,3112315,0
"perf-test","deno-app-v2.9.2",100,100,"","","60s",11619,164.7320984463981,446.9922853807557,423.653442,809.0270488000001,960.34504,1288.8945541199998,2181.58253,867927681,5867090,0
"perf-test","deno-app-v2.9.2",200,100,"","","60s",11628,163.52806769132025,839.5352218046949,765.8849680000001,1563.0806657000003,1850.61878485,2776.5567918999977,5596.902161,868599972,5872140,0
"perf-test","deno-app-v2.9.2",50,100,"","","60s",11512,163.7100043065073,207.91330608538908,184.53793000000002,402.93289200000004,481.2585935999999,671.1021462,1845.823206,859934888,5813560,0
"perf-test","deno-app-v2.9.2",1,10,"","","60s",26315,375.8945095811182,1.5419594146684243,1.349805,2.5435730000000008,2.7225789999999996,3.6305026000000016,9.763675,197230925,13262760,0
"perf-test","deno-app-v2.9.2",100,10,"","","60s",99508,1419.6370540630946,62.46579941612783,63.944345999999996,92.5318943,104.10425949999998,142.45067597,309.753535,745812460,50152032,0
"perf-test","deno-app-v2.9.2",200,10,"","","60s",97541,1390.6788673184583,119.19405008636346,122.692743,185.573106,205.538136,282.7660616000001,604.064605,731069795,49160664,0
"perf-test","deno-app-v2.9.2",50,10,"","","60s",102567,1464.4314225535275,29.679739980022756,29.512817,45.850226000000006,51.967422699999986,69.1243262,176.312864,768739665,51693768,0
"perf-test","deno-app-v2.9.2",1,1,"","","60s",47340,676.2745795889995,1.1150446226235666,1.0720565,1.4990171999999997,1.8973513999999996,2.766418900000004,74.376696,40617720,23812020,0
"perf-test","deno-app-v2.9.2",100,1,"","","60s",213382,3047.0788006895323,30.260899244252556,26.738750500000002,59.926421999999995,73.66582844999996,95.44813240000002,826.332226,183081756,107331146,0
"perf-test","deno-app-v2.9.2",200,1,"","","60s",218558,3119.8241903473404,59.28164384874046,46.6269045,125.860517,148.41679549999998,189.47827349999997,682.13385,187522764,109934674,0
"perf-test","deno-app-v2.9.2",50,1,"","","60s",214601,3065.117419855596,14.94850133025954,14.039183,27.383919,34.648345,45.719308,324.586072,184127658,107944303,0
"perf-test","deno-app-v2.9.2",1,500,"","","60s",1339,19.12032584022401,18.315158844660193,19.727677,21.6918332,24.54677119999999,31.024813579999954,50.115354,505050715,676195,0
"perf-test","deno-app-v2.9.2",100,500,"","","60s",2463,34.329054188221114,853.0464583922035,788.830493,1462.1900864000002,1657.2457758,2004.047615300001,3237.451806,929006655,1243815,0
"perf-test","deno-app-v2.9.2",200,500,"","","60s",2523,34.201025790935475,1779.852237005944,1628.254206,3068.994474,3508.648603300001,4219.734071860001,5677.197072,951637755,1274115,0
"perf-test","deno-app-v2.9.2",50,500,"","","60s",2414,34.088816316611286,416.117795335957,379.701261,707.7809976000001,814.2656243499999,1061.0356341599997,1546.066221,910524590,1219070,0
"large","deno-app-v2.9.2",25,"","",100,"60s",99319,1418.15141732211,14.882167361833952,13.79608,25.5398656,29.635968099999996,41.54690019999979,138.878416,10182680475,11024409,0
"large","deno-app-v2.9.2",50,"","",100,"60s",97265,1388.8230847516443,31.48176916986678,30.850791,48.705774000000005,57.15887140000002,81.04464076000001,174.610884,9972094125,10796415,0
"large","deno-app-v2.9.2",25,"","",500,"60s",23207,331.0851286924909,60.569719087301344,58.234853,95.4679856,111.7167133,146.21139319999995,300.536694,11884884875,2575977,0
"large","deno-app-v2.9.2",50,"","",500,"60s",23734,338.13581288023835,125.93248214898423,124.7899025,190.83518700000002,226.20643689999997,296.2274965999997,588.540328,12154774750,2634474,0
"params","deno-app-v2.9.2",100,"","","","60s",980894,14009.85199096809,6.3771741867122556,5.133052,12.8085317,15.852820499999998,25.476611499999997,97.112403,170675556,359007204,0
