timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1783949271,0.01,1.012,31334.40,0.00
1783949274,0.00,1.012,31334.40,0.00
1783949277,0.00,1.012,31334.40,0.00
1783949280,0.00,1.012,31334.40,0.00
1783949283,0.00,1.012,31334.40,0.00
1783949286,0.00,1.012,31334.40,0.00
1783949289,0.00,1.012,31334.40,0.00
1783949292,0.00,1.012,31334.40,0.00
1783949295,0.00,1.012,31334.40,0.00
1783949299,0.00,1.012,31334.40,0.00
1783949302,0.00,1.012,31334.40,0.00
1783949305,0.00,1.012,31334.40,0.00
1783949308,0.00,1.012,31334.40,0.00
1783949311,0.00,1.012,31334.40,0.00
1783949314,0.00,1.012,31334.40,0.00
1783949317,0.00,1.012,31334.40,0.00
1783949320,0.00,1.012,31334.40,0.00
1783949323,0.00,1.012,31334.40,0.00
1783949326,0.00,1.012,31334.40,0.00
1783949330,0.00,1.012,31334.40,0.00
1783949333,0.00,1.012,31334.40,0.00
1783949336,0.00,1.012,31334.40,0.00
1783949339,0.00,1.012,31334.40,0.00
1783949342,0.00,1.012,31334.40,0.00
1783949345,0.00,1.012,31334.40,0.00
1783949348,0.00,1.012,31334.40,0.00
1783949351,0.00,1.012,31334.40,0.00
1783949354,0.00,1.012,31334.40,0.00
1783949357,0.00,1.012,31334.40,0.00
1783949360,0.00,1.012,31334.40,0.00
1783949363,0.00,1.012,31334.40,0.00
1783949367,0.00,1.012,31334.40,0.00
1783949370,0.00,1.012,31334.40,0.00
1783949373,0.00,1.012,31334.40,0.00
1783949376,0.00,1.012,31334.40,0.00
1783949379,0.00,1.012,31334.40,0.00
1783949382,0.00,1.012,31334.40,0.00
1783949385,0.00,1.012,31334.40,0.00
1783949388,0.00,1.012,31334.40,0.00
1783949391,0.00,1.012,31334.40,0.00
1783949394,0.00,1.012,31334.40,0.00
1783949398,0.00,1.012,31334.40,0.00
1783949401,0.00,1.012,31334.40,0.00
1783949404,0.00,1.012,31334.40,0.00
1783949407,0.00,1.012,31334.40,0.00
1783949410,0.00,1.012,31334.40,0.00
1783949413,0.00,1.012,31334.40,0.00
1783949416,0.00,1.012,31334.40,0.00
1783949419,0.00,1.012,31334.40,0.00
1783949422,0.00,1.012,31334.40,0.00
1783949425,0.00,1.012,31334.40,0.00
1783949428,0.00,1.012,31334.40,0.00
1783949432,0.00,1.012,31334.40,0.00
1783949435,0.00,1.012,31334.40,0.00
1783949438,0.00,1.012,31334.40,0.00
1783949441,0.00,1.012,31334.40,0.00
1783949444,0.00,1.012,31334.40,0.00
1783949447,0.00,1.012,31334.40,0.00
1783949450,0.00,1.012,31334.40,0.00
1783949453,0.00,1.012,31334.40,0.00
1783949456,0.00,1.012,31334.40,0.00
1783949459,0.00,1.012,31334.40,0.00
1783949462,0.00,1.012,31334.40,0.00
1783949465,0.00,1.012,31334.40,0.00
1783949468,0.00,1.012,31334.40,0.00
1783949472,0.00,1.012,31334.40,0.00
1783949475,0.00,1.012,31334.40,0.00
1783949478,0.00,1.012,31334.40,0.00
1783949481,0.00,1.012,31334.40,0.00
1783949484,0.00,1.012,31334.40,0.00
1783949487,0.00,1.012,31334.40,0.00
1783949490,0.00,1.012,31334.40,0.00
1783949493,0.00,1.012,31334.40,0.00
1783949496,0.00,1.012,31334.40,0.00
1783949499,0.00,1.012,31334.40,0.00
1783949502,0.00,1.012,31334.40,0.00
1783949505,0.00,1.012,31334.40,0.00
1783949508,0.00,1.012,31334.40,0.00
1783949511,0.00,1.012,31334.40,0.00
1783949515,0.00,1.012,31334.40,0.00
1783949518,0.00,1.012,31334.40,0.00
1783949521,0.00,1.012,31334.40,0.00
1783949524,0.00,1.012,31334.40,0.00
1783949527,0.00,1.012,31334.40,0.00
1783949530,0.00,1.012,31334.40,0.00
1783949533,0.00,1.012,31334.40,0.00
1783949536,0.00,1.012,31334.40,0.00
1783949539,0.00,1.012,31334.40,0.00
1783949542,0.00,1.012,31334.40,0.00
1783949545,0.00,1.012,31334.40,0.00
1783949548,0.00,1.012,31334.40,0.00
1783949551,0.00,1.012,31334.40,0.00
1783949555,0.00,1.012,31334.40,0.00
1783949558,0.00,1.012,31334.40,0.00
1783949561,0.00,1.012,31334.40,0.00
1783949564,0.00,1.012,31334.40,0.00
1783949567,0.00,1.012,31334.40,0.00
1783949570,0.00,1.012,31334.40,0.00
1783949573,0.00,1.012,31334.40,0.00
1783949576,0.00,1.012,31334.40,0.00
1783949579,0.00,1.012,31334.40,0.00
1783949582,0.00,1.012,31334.40,0.00
1783949585,0.00,1.012,31334.40,0.00
1783949588,0.00,1.012,31334.40,0.00
1783949591,0.00,1.012,31334.40,0.00
1783949595,0.00,1.012,31334.40,0.00
1783949598,0.00,1.012,31334.40,0.00
1783949601,0.00,1.012,31334.40,0.00
1783949604,0.00,1.012,31334.40,0.00
1783949607,0.00,1.012,31334.40,0.00
1783949610,0.00,1.012,31334.40,0.00
1783949613,0.00,1.012,31334.40,0.00
1783949616,0.00,1.012,31334.40,0.00
1783949619,0.00,1.012,31334.40,0.00
1783949622,0.00,1.012,31334.40,0.00
1783949625,0.00,1.012,31334.40,0.00
1783949628,0.00,1.012,31334.40,0.00
1783949632,0.00,1.012,31334.40,0.00
1783949635,0.00,1.012,31334.40,0.00
1783949638,0.00,1.012,31334.40,0.00
1783949641,0.00,1.012,31334.40,0.00
1783949644,0.00,1.012,31334.40,0.00
1783949647,0.00,1.012,31334.40,0.00
1783949650,0.00,1.012,31334.40,0.00
1783949653,0.00,1.012,31334.40,0.00
1783949656,0.00,1.012,31334.40,0.00
1783949659,0.00,1.012,31334.40,0.00
1783949663,0.00,1.012,31334.40,0.00
1783949666,0.00,1.012,31334.40,0.00
1783949669,0.00,1.012,31334.40,0.00
1783949672,0.00,1.012,31334.40,0.00
1783949675,0.00,1.012,31334.40,0.00
1783949678,0.00,1.012,31334.40,0.00
1783949681,0.00,1.012,31334.40,0.00
1783949684,0.00,1.012,31334.40,0.00
1783949687,0.00,1.012,31334.40,0.00
1783949690,0.00,1.012,31334.40,0.00
1783949693,0.00,1.012,31334.40,0.00
1783949697,0.00,1.012,31334.40,0.00
1783949700,0.00,1.012,31334.40,0.00
1783949703,0.00,1.012,31334.40,0.00
1783949706,0.00,1.012,31334.40,0.00
1783949709,0.00,1.012,31334.40,0.00
1783949712,0.00,1.012,31334.40,0.00
1783949715,0.00,1.012,31334.40,0.00
1783949718,0.00,1.012,31334.40,0.00
1783949721,0.00,1.012,31334.40,0.00
1783949724,0.00,1.012,31334.40,0.00
1783949727,0.00,1.012,31334.40,0.00
1783949731,0.00,1.012,31334.40,0.00
1783949734,0.00,1.012,31334.40,0.00
1783949737,0.00,1.012,31334.40,0.00
1783949740,0.00,1.012,31334.40,0.00
1783949743,0.00,1.012,31334.40,0.00
1783949746,0.00,1.012,31334.40,0.00
1783949749,0.00,1.012,31334.40,0.00
1783949752,0.00,1.012,31334.40,0.00
1783949755,0.00,1.012,31334.40,0.00
1783949758,0.00,1.012,31334.40,0.00
1783949762,0.00,1.012,31334.40,0.00
1783949765,0.00,1.012,31334.40,0.00
1783949768,0.00,1.012,31334.40,0.00
1783949771,0.00,1.012,31334.40,0.00
1783949774,0.00,1.012,31334.40,0.00
1783949777,0.00,1.012,31334.40,0.00
1783949780,0.00,1.012,31334.40,0.00
1783949783,0.00,1.012,31334.40,0.00
1783949786,0.00,1.012,31334.40,0.00
1783949789,0.00,1.012,31334.40,0.00
1783949792,0.00,1.012,31334.40,0.00
1783949796,0.00,1.012,31334.40,0.00
1783949799,0.00,1.012,31334.40,0.00
1783949802,0.00,1.012,31334.40,0.00
1783949805,0.00,1.012,31334.40,0.00
1783949808,0.00,1.012,31334.40,0.00
