timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1783949272,0.00,17.47,31334.40,0.06
1783949275,0.00,17.47,31334.40,0.06
1783949278,0.00,17.47,31334.40,0.06
1783949281,0.00,17.47,31334.40,0.06
1783949284,0.00,17.47,31334.40,0.06
1783949287,0.00,17.47,31334.40,0.06
1783949290,0.00,17.47,31334.40,0.06
1783949293,0.00,17.47,31334.40,0.06
1783949297,0.00,17.47,31334.40,0.06
1783949300,0.00,17.47,31334.40,0.06
1783949303,0.00,17.47,31334.40,0.06
1783949306,0.00,17.47,31334.40,0.06
1783949309,0.00,17.47,31334.40,0.06
1783949312,0.00,17.47,31334.40,0.06
1783949315,0.00,17.47,31334.40,0.06
1783949318,0.00,17.47,31334.40,0.06
1783949321,0.00,17.47,31334.40,0.06
1783949324,0.00,17.47,31334.40,0.06
1783949327,0.00,17.47,31334.40,0.06
1783949331,0.00,17.47,31334.40,0.06
1783949334,0.00,17.47,31334.40,0.06
1783949337,0.00,17.47,31334.40,0.06
1783949340,0.00,17.47,31334.40,0.06
1783949343,0.00,17.47,31334.40,0.06
1783949346,0.00,17.47,31334.40,0.06
1783949349,0.00,17.47,31334.40,0.06
1783949352,0.00,17.47,31334.40,0.06
1783949355,0.00,17.47,31334.40,0.06
1783949358,0.00,17.47,31334.40,0.06
1783949361,0.00,17.47,31334.40,0.06
1783949364,0.00,17.47,31334.40,0.06
1783949368,0.00,17.47,31334.40,0.06
1783949371,0.00,17.47,31334.40,0.06
1783949374,0.00,17.47,31334.40,0.06
1783949377,0.00,17.47,31334.40,0.06
1783949380,0.00,17.47,31334.40,0.06
1783949383,0.00,17.47,31334.40,0.06
1783949386,0.00,17.47,31334.40,0.06
1783949389,0.00,17.47,31334.40,0.06
1783949392,0.00,17.47,31334.40,0.06
1783949395,0.00,17.47,31334.40,0.06
1783949399,0.00,17.47,31334.40,0.06
1783949402,0.00,17.47,31334.40,0.06
1783949405,0.00,17.47,31334.40,0.06
1783949408,0.00,17.47,31334.40,0.06
1783949411,0.00,17.47,31334.40,0.06
1783949414,0.00,17.47,31334.40,0.06
1783949417,0.00,17.47,31334.40,0.06
1783949420,0.00,17.47,31334.40,0.06
1783949423,0.00,17.47,31334.40,0.06
1783949426,0.00,17.47,31334.40,0.06
1783949430,0.00,17.47,31334.40,0.06
1783949433,0.00,17.47,31334.40,0.06
1783949436,0.00,17.47,31334.40,0.06
1783949439,0.00,17.47,31334.40,0.06
1783949442,0.00,17.47,31334.40,0.06
1783949445,0.00,17.47,31334.40,0.06
1783949448,0.00,17.47,31334.40,0.06
1783949451,0.00,17.47,31334.40,0.06
1783949454,0.00,17.47,31334.40,0.06
1783949457,0.00,17.47,31334.40,0.06
1783949460,0.00,17.47,31334.40,0.06
1783949463,0.00,17.47,31334.40,0.06
1783949466,0.00,17.47,31334.40,0.06
1783949469,0.00,17.47,31334.40,0.06
1783949473,0.00,17.47,31334.40,0.06
1783949476,0.00,17.47,31334.40,0.06
1783949479,0.00,17.47,31334.40,0.06
1783949482,0.00,17.47,31334.40,0.06
1783949485,0.00,17.47,31334.40,0.06
1783949488,0.00,17.47,31334.40,0.06
1783949491,0.00,17.47,31334.40,0.06
1783949494,0.00,17.47,31334.40,0.06
1783949497,0.00,17.47,31334.40,0.06
1783949500,0.00,17.47,31334.40,0.06
1783949503,0.00,17.47,31334.40,0.06
1783949506,0.00,17.47,31334.40,0.06
1783949509,0.00,17.47,31334.40,0.06
1783949512,0.00,17.47,31334.40,0.06
1783949516,0.00,17.47,31334.40,0.06
1783949519,0.00,17.47,31334.40,0.06
1783949522,0.00,17.47,31334.40,0.06
1783949525,0.00,17.47,31334.40,0.06
1783949528,0.00,17.47,31334.40,0.06
1783949531,0.00,17.47,31334.40,0.06
1783949534,0.00,17.47,31334.40,0.06
1783949537,0.00,17.47,31334.40,0.06
1783949540,0.00,17.47,31334.40,0.06
1783949543,0.00,17.47,31334.40,0.06
1783949546,0.00,17.47,31334.40,0.06
1783949549,0.00,17.47,31334.40,0.06
1783949553,0.00,17.47,31334.40,0.06
1783949556,0.00,17.47,31334.40,0.06
1783949559,0.00,17.47,31334.40,0.06
1783949562,0.00,17.47,31334.40,0.06
1783949565,0.00,17.47,31334.40,0.06
1783949568,0.00,17.47,31334.40,0.06
1783949571,0.00,17.47,31334.40,0.06
1783949574,0.00,17.47,31334.40,0.06
1783949577,0.00,17.47,31334.40,0.06
1783949580,0.00,17.47,31334.40,0.06
1783949583,0.00,17.47,31334.40,0.06
1783949586,0.00,17.47,31334.40,0.06
1783949589,0.00,17.47,31334.40,0.06
1783949593,0.00,17.47,31334.40,0.06
1783949596,0.00,17.47,31334.40,0.06
1783949599,0.00,17.47,31334.40,0.06
1783949602,0.00,17.47,31334.40,0.06
1783949605,0.00,17.47,31334.40,0.06
1783949608,0.00,17.47,31334.40,0.06
